Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
1001,HR,30,44048,8,8,78,No
1002,Finance,29,52409,10,8,94,Yes
1003,Finance,43,73583,9,8,90,Yes
1004,IT,28,52000,2,8,83,No
1005,HR,33,36117,2,9,100,No
1006,Sales,43,41185,8,6,52,No
1007,HR,43,71243,5,10,53,No
1008,Sales,26,45508,5,9,76,No
1009,Finance,43,77148,2,7,76,No
1010,HR,32,68531,7,10,100,Yes
1011,IT,37,39751,4,6,72,No
1012,IT,44,71609,1,8,77,No
1013,HR,27,70100,4,7,55,No
1014,Finance,31,55901,6,9,92,Yes
1015,IT,40,76250,2,10,65,No
1016,HR,41,79917,7,10,68,No
1017,Marketing,39,58396,5,10,64,No
1018,HR,26,63734,6,9,81,Yes
1019,Marketing,31,77746,1,6,86,No
1020,Sales,43,79267,8,7,51,No
1021,HR,30,61881,8,7,86,Yes
1022,IT,36,40943,7,6,92,Yes
1023,HR,30,70614,8,8,72,No
1024,Finance,39,73869,4,10,66,No
1025,Marketing,45,67192,8,9,78,No
1026,HR,29,61767,9,8,89,Yes
1027,Finance,28,54575,4,9,99,No
1028,Marketing,24,58865,9,6,91,Yes
1029,Sales,43,77048,7,6,72,No
1030,Marketing,31,79945,2,8,74,No
1031,Marketing,28,44893,6,6,73,No
1032,Finance,31,49264,3,7,63,No
1033,IT,36,45351,1,8,93,No
1034,IT,31,61084,9,6,77,No
1035,HR,43,75984,1,10,96,No
1036,HR,35,60033,10,6,77,No
1037,Finance,22,71109,8,7,52,No
1038,Finance,30,66970,6,6,66,No
1039,HR,37,76263,10,7,96,Yes
1040,HR,42,53232,9,7,58,No
1041,IT,29,68176,9,9,72,No
1042,Marketing,43,47794,7,6,83,Yes
1043,Finance,26,47876,4,8,87,No
1044,IT,35,62041,3,8,59,No
1045,Marketing,24,68104,1,8,89,No
1046,Marketing,32,37306,8,7,60,No
1047,IT,42,36660,7,6,86,Yes
1048,HR,27,75652,7,6,91,Yes
1049,Finance,33,41245,2,7,74,No
1050,HR,38,69309,3,7,62,No
1051,IT,37,70181,3,10,68,No
1052,IT,34,40348,7,8,61,No
1053,HR,32,50514,4,7,99,No
1054,IT,36,50232,7,6,97,Yes
1055,Finance,29,48615,2,7,100,No
1056,Marketing,42,57770,7,7,56,No
1057,Sales,28,36497,8,10,79,No
1058,Finance,29,44622,1,6,68,No
1059,Finance,43,53523,8,9,79,No
1060,Marketing,35,70754,3,9,85,No
1061,Marketing,34,46217,9,7,58,No
1062,HR,39,70519,2,10,52,No
1063,Finance,40,58096,2,9,50,No
1064,IT,35,36528,3,6,94,No
1065,IT,32,77779,5,9,98,No
1066,Sales,30,38728,7,6,82,Yes
1067,Marketing,23,64277,2,7,86,No
1068,Marketing,44,61013,10,7,60,No
1069,IT,27,79140,5,10,79,No
1070,IT,30,66209,4,9,53,No
1071,IT,38,54744,9,8,77,No
1072,Finance,31,48490,9,7,87,Yes
1073,Marketing,23,40267,3,7,92,No
1074,Finance,45,40773,2,9,65,No
1075,Sales,24,65389,7,9,62,No
1076,Finance,26,74988,7,10,77,No
1077,Sales,32,47227,5,9,51,No
1078,HR,39,55904,10,7,64,No
1079,Finance,32,72788,4,6,55,No
1080,HR,41,74012,4,8,98,No
1081,Finance,30,61340,2,7,85,No
1082,Finance,34,65262,8,10,57,No
1083,Marketing,28,73619,7,7,64,No
1084,IT,24,70757,10,10,70,No
1085,Sales,33,74790,4,7,95,No
1086,Finance,23,72006,3,7,91,No
1087,Marketing,45,46734,7,6,81,Yes
1088,HR,34,41440,8,6,56,No
1089,Finance,29,57054,7,8,84,Yes
1090,Marketing,45,78736,6,10,80,No
1091,IT,29,59779,3,6,52,No
1092,IT,30,40008,8,8,63,No
1093,HR,22,59498,1,7,53,No
1094,HR,38,69284,1,8,90,No
1095,Finance,27,73483,9,6,65,No
1096,Sales,37,46411,7,10,57,No
1097,IT,22,53952,4,10,72,No
1098,HR,30,57092,3,6,98,No
1099,Sales,25,71868,7,10,82,Yes
1100,HR,32,78817,6,9,88,Yes
1101,Finance,32,70089,5,10,55,No
1102,HR,22,78802,6,9,72,No
1103,HR,39,51046,9,9,57,No
1104,Finance,30,61713,4,10,54,No
1105,HR,35,38899,8,7,52,No
1106,Sales,31,59744,2,6,80,No
1107,HR,42,72975,5,8,80,No
1108,Marketing,30,67742,10,9,92,Yes
1109,IT,30,72913,8,7,95,Yes
1110,Finance,23,68681,3,8,53,No
1111,IT,42,58452,8,8,54,No
1112,HR,41,61259,6,6,60,No
1113,IT,22,58515,10,9,94,Yes
1114,Sales,34,37842,9,8,52,No
1115,Finance,42,60043,2,7,59,No
1116,Finance,41,56425,4,8,82,No
1117,IT,31,55306,2,8,54,No
1118,Finance,40,79732,8,9,76,No
1119,Finance,32,48641,7,10,87,Yes
1120,Sales,25,53286,2,7,96,No
1121,Marketing,28,40596,7,7,86,Yes
1122,Marketing,23,61557,1,8,81,No
1123,HR,32,58630,2,8,88,No
1124,Marketing,45,74494,1,7,70,No
1125,Finance,36,37859,7,10,55,No
1126,Marketing,31,36908,2,8,95,No
1127,Finance,40,55399,2,10,68,No
1128,Sales,22,49980,4,8,80,No
1129,Sales,27,48735,1,6,80,No
1130,IT,24,53366,10,8,92,Yes
1131,HR,31,74290,3,8,85,No
1132,IT,33,40950,6,10,69,No
1133,IT,25,70717,4,9,55,No
1134,IT,31,65492,5,7,71,No
1135,Sales,28,57812,9,8,97,Yes
1136,HR,27,55504,2,7,88,No
1137,Sales,32,35917,5,8,61,No
1138,IT,29,69512,2,8,61,No
1139,Sales,45,51439,9,7,51,No
1140,HR,37,55801,9,9,73,No
1141,Finance,22,78606,8,6,88,Yes
1142,IT,34,35992,6,10,81,Yes
1143,Sales,37,36198,8,9,61,No
